_id,Sl No,State,PC_Name,Total Electors,Polled (%),Total Votes,Phase
432,49,West Bengal,Uluberia,1741438,79.78,1389316,5
433,,"",Phase 5 Total,89567973,62.2,55710618,5
434,1,Bihar,Gopalganj,2024673,52.32,1059298,6
435,2,Bihar,Maharajganj,1934937,52.27,1011421,6
436,3,Bihar,Paschim Champaran,1756078,61.62,1082178,6
437,4,Bihar,Purvi Champaran,1790761,59.68,1068642,6
438,5,Bihar,Sheohar,1832745,57.4,1052021,6
439,6,Bihar,Siwan,1896512,52.49,995416,6
440,7,Bihar,Vaishali,1869178,62.59,1170009,6
441,8,Bihar,Valmiki Nagar,1827281,60.19,1099781,6
442,9,Haryana,AMBALA,1996708,67.34,1344503,6
443,10,Haryana,BHIWANI-MAHENDRAGARH,1793029,65.39,1172526,6
444,11,Haryana,FARIDABAD,2430212,60.52,1470649,6
445,12,Haryana,GURGAON,2573411,62.03,1596240,6
446,13,Haryana,HISAR,1790722,65.27,1168784,6
447,14,Haryana,KARNAL,2104229,63.74,1341174,6
448,15,Haryana,KURUKSHETRA,1794300,67.01,1202401,6
449,16,Haryana,ROHTAK,1889844,65.68,1241201,6
450,17,Haryana,SIRSA,1937689,69.77,1351932,6
451,18,Haryana,SONIPAT,1766624,63.44,1120791,6
452,19,Jammu and Kashmir,ANANTNAGRAJOURI,1836576,55.4,1017451,6
453,20,Jharkhand,Dhanbad,2285237,62.06,1418264,6
454,21,Jharkhand,Giridih,1864660,67.23,1253553,6
455,22,Jharkhand,Jamshedpur,1869278,67.68,1265169,6
456,23,Jharkhand,Ranchi,2197331,65.36,1436127,6
457,24,NCT OF Delhi,Chandni Chowk,1645958,58.6,964503,6
458,25,NCT OF Delhi,East Delhi,2120584,59.51,1261988,6
459,26,NCT OF Delhi,New Delhi,1525071,55.43,845285,6
460,27,NCT OF Delhi,North-East Delhi,2463159,62.89,1549202,6
461,28,NCT OF Delhi,North-West Delhi,2567423,57.85,1485378,6
462,29,NCT OF Delhi,South Delhi,2291764,56.45,1293598,6
463,30,NCT OF Delhi,West Delhi,2587977,58.79,1521541,6
464,31,Odisha,Bhubaneswar,1672774,64.49,1078810,6
465,32,Odisha,Cuttack,1571622,71.2,1118918,6
466,33,Odisha,Dhenkanal,1529785,78.01,1193460,6
467,34,Odisha,Keonjhar,1588179,78.97,1254163,6
468,35,Odisha,Puri,1586465,75.43,1196684,6
469,36,Odisha,Sambalpur,1499728,79.5,1192226,6
470,37,Uttar Pradesh,Allahabad,1825730,51.82,946076,6
471,38,Uttar Pradesh,Ambedkar Nagar,1911297,61.58,1176920,6
472,39,Uttar Pradesh,Azamgarh,1868165,56.16,1049205,6
473,40,Uttar Pradesh,Basti,1902898,56.67,1078313,6
474,41,Uttar Pradesh,Bhadohi,2037925,53.07,1081465,6
475,42,Uttar Pradesh,Domariyaganj,1961845,51.97,1019548,6
476,43,Uttar Pradesh,Jaunpur,1977237,55.59,1099223,6
477,44,Uttar Pradesh,Lalganj,1838882,54.38,1000053,6
478,45,Uttar Pradesh,Machhlishahr,1940605,54.49,1057361,6
479,46,Uttar Pradesh,Phulpur,2067043,48.91,1010909,6
480,47,Uttar Pradesh,Pratapgarh,1833312,51.45,943245,6
481,48,Uttar Pradesh,Sant Kabir Nagar,2071964,52.57,1089154,6
482,49,Uttar Pradesh,Shrawasti,1980381,52.83,1046253,6
483,50,Uttar Pradesh,Sultanpur,1852590,55.63,1030583,6
484,51,West Bengal,Bankura,1780580,80.75,1437826,6
485,52,West Bengal,Bishnupur,1754268,85.91,1507040,6
486,53,West Bengal,Ghatal,1939945,82.17,1593990,6
487,54,West Bengal,Jhargram,1779794,83.47,1485591,6
488,55,West Bengal,Kanthi,1794537,84.77,1521159,6
489,56,West Bengal,Medinipur,1811243,81.56,1477309,6
490,57,West Bengal,Purulia,1823120,78.39,1429190,6
491,58,West Bengal,Tamluk,1850741,84.79,1569233,6
492,,"",Phase 6 Total,111316606,63.37,70544933,6
493,1,Bihar,Arrah,2165574,50.27,1088685,
494,2,Bihar,Buxar,1923164,55.39,1065290,
495,3,Bihar,Jahanabad,1670327,55.09,920114,
496,4,Bihar,Karakat,1881191,54.68,1028641,
497,5,Bihar,Nalanda,2288240,49.78,1139006,
498,6,Bihar,Patliputra,2073685,59.24,1228549,
499,7,Bihar,Patna Sahib,2292045,46.85,1073847,
500,8,Bihar,Sasaram,1910368,57.16,1091993,
501,9,Chandigarh,Chandigarh,659805,67.98,448547,
502,10,Himachal Pradesh,HAMIRPUR,1432636,71.56,1025237,
503,11,Himachal Pradesh,KANGRA,1502514,67.89,1020026,
504,12,Himachal Pradesh,MANDI,1364060,73.15,997833,
505,13,Himachal Pradesh,SHIMLA,1346369,71.26,959445,
506,14,Jharkhand,Dumka,1591061,73.87,1175294,
507,15,Jharkhand,Godda,2028154,68.63,1391960,
508,16,Jharkhand,Rajmahal,1704671,70.78,1206577,
509,17,Odisha,Balasore,1608014,76.77,1234427,
510,18,Odisha,Bhadrak,1770915,73.23,1296802,
511,19,Odisha,Jagatsinghpur,1700814,75.48,1283700,
512,20,Odisha,Jajpur,1545664,74.47,1151038,
513,21,Odisha,Kendrapara,1792723,71.22,1276773,
514,22,Odisha,Mayurbhanj,1542927,75.79,1169335,
515,23,Punjab,Amritsar,1611263,56.06,903206,
516,24,Punjab,Anandpur Sahib,1732211,61.98,1073572,
517,25,Punjab,Bathinda,1651188,69.36,1145241,
518,26,Punjab,Faridkot,1594033,63.34,1009637,
519,27,Punjab,Fatehgarh Sahib,1552567,62.53,970783,
520,28,Punjab,Firozpur,1670008,67.02,1119167,
521,29,Punjab,Gurdaspur,1605204,66.67,1070267,
522,30,Punjab,Hoshiarpur,1601826,58.86,942766,
523,31,Punjab,Jalandhar,1654005,59.7,987508,
524,32,Punjab,Khadoor Sahib,1667797,62.55,1043248,
525,33,Punjab,Ludhiana,1758614,60.12,1057274,
526,34,Punjab,Patiala,1806424,63.63,1149417,
527,35,Punjab,Sangrur,1556601,64.63,1006048,
528,36,Uttar Pradesh,Ballia,1923645,52.05,1001317,
529,37,Uttar Pradesh,Bansgaon,1820854,51.79,943007,
530,38,Uttar Pradesh,Chandauli,1843196,60.58,1116673,
531,39,Uttar Pradesh,Deoria,1873821,55.51,1040178,
532,40,Uttar Pradesh,Ghazipur,2074883,55.45,1150496,
533,41,Uttar Pradesh,Ghosi,2083928,55.05,1147213,
534,42,Uttar Pradesh,Gorakhpur,2097202,54.93,1152057,
535,43,Uttar Pradesh,Kushi Nagar,1875222,57.57,1079573,
536,44,Uttar Pradesh,Maharajganj,2004050,60.31,1208589,
537,45,Uttar Pradesh,Mirzapur,1906327,57.92,1104186,
538,46,Uttar Pradesh,Robertsganj,1779189,56.78,1010277,
539,47,Uttar Pradesh,Salempur,1776982,51.38,913009,
540,48,Uttar Pradesh,Varanasi,1997578,56.49,1128527,
541,49,West Bengal,Barasat,1905400,80.17,1527620,
542,50,West Bengal,Basirhat,1804261,84.31,1521154,
543,51,West Bengal,Diamond harbour,1880779,81.04,1524138,
544,52,West Bengal,Dum dum,1699656,73.81,1254452,
545,53,West Bengal,Jadavpur,2033525,76.68,1559330,
546,54,West Bengal,Joynagar,1844780,80.08,1477298,
547,55,West Bengal,Kolkata Dakshin,1849520,66.95,1238256,
548,56,West Bengal,Kolkata Uttar,1505356,63.59,957319,
549,57,West Bengal,Mathurapur,1817068,82.02,1490299,
550,,"",Phase 7 Total,100653884,63.88,64296221,
